#Location,Yellowstone Park MT,,,,,,,,
#Site,Bacon Rind,,,,,,,,
#Pit_ID,baconrind1,,,,,,,,
#Date_Time,2022-04-10-1600,,,,,,,,
#UTM_Zone,12T,,,,,,,,
#Easting,495173,,,,,,,,
#Northing,4977549,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Kaitlin Meyer Ingrid Meyer,,,,,,,,
#Timing,40 min,,,,,,,,
#Notes,,,,,,,,,
#Total_snow_depth(cm),54,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
790,65.13,118.4,54,PP,NaN,compacted,-4.7,-2.4,D
726,61.33,92.7,54,PP,NaN,mixed,-4.7,NaN,D
196,18.81,8.6,51,MF,327,normal,-4.7,NaN,D
151,13.93,5.7,48,MF,327,normal,-4.7,-2,D
145,13.26,5.3,45,MF,327,normal,-4.7,NaN,D
145,13.26,5.3,42,MF,374.5,normal,-4.7,NaN,D
150,13.82,5.6,39,MF,374.5,normal,-4.7,-0.2,M
200,19.23,8.8,36,MF,374.5,normal,-4.7,-0.2,M
130,11.56,4.3,33,MF,383.5,shaved,-4.7,-0.2,M
180,17.1,7.5,30,MF,383.5,shaved,-4.7,-0.2,M
195,18.7,8.5,27,MF,383.5,shaved,-4.7,-0.1,M
140,12.7,5,24,MF,383.5,shaved,-4.7,-0.1,M
153,14.15,5.8,21,MF,414.5,shaved,-4.7,-0.1,M
149,13.71,5.5,18,MF,414.5,shaved,-4.7,-0.1,M
150,13.82,5.6,15,MF,414.5,shaved,-4.7,-0.1,M
148,13.6,5.5,12,MF,429,shaved,-4.7,-0.1,M
138,12.47,4.8,9,MF,429,shaved,-4.7,-0.1,M
137,12.36,4.8,6,MF,429,shaved,-4.7,-0.1,M
165,15.48,6.6,3,MF,429,shaved,-4.7,-0.1,M
