#Location,"Big Sky, MT",,,,,,,,
#Site,Beehive Basin Trailhead Area,,,,,,,,
#Pit_ID,beehive1,,,,,,,,
#Date_Time,2022-04-12-1400,,,,,,,,
#UTM_Zone,12T,,,,,,,,
#Easting,469887,,,,,,,,
#Northing,5017176,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Kaitlin Meyer,,,,,,,,
#Timing,1.5 hours,,,,,,,,
#Notes,samples here were not rotated. Melt freeze crusts were brushed off but not stacked. Sampling was quick+dirty,,,,,,,,
#Total_snow_depth(cm),131,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
708,62.41,99.2,131,PP,NaN,compacted,-10.9,-6.4,D
544.5,51.02,51.1,125,PP,NaN,compacted,-10.9,NaN,D
580,53.64,59.1,120,PP,NaN,compacted,-10.9,-3.4,D
585,54.01,60.3,115,PP,NaN,compacted,-10.9,NaN,D
332,33.18,19.3,110,MFcr,NaN,brushed,-10.9,-4.2,D
296,29.74,16.1,105,MFcr,NaN,brushed,-10.9,NaN,D
204,20.3,9.5,100,IF,NaN,brushed,-10.9,-4.1,D
200,19.86,9.2,95,IF,NaN,brushed,-10.9,NaN,D
235,23.59,11.6,90,MFcr,NaN,brushed,-10.9,-3.5,D
220,22.01,10.5,85,RG,NaN,shaved,-10.9,NaN,D
224,22.44,10.8,80,FCxr,NaN,shaved,-10.9,-3.2,D
250,25.14,12.6,75,FCxr,NaN,mixed,-10.9,NaN,D
223,22.33,10.7,70,FCxr,NaN,mixed,-10.9,-2.2,D
217,21.69,10.3,65,FCxr,NaN,mixed,-10.9,NaN,D
210,20.94,9.9,60,FCxr,NaN,mixed,-10.9,-1.7,D
200,19.86,9.2,55,FCxr,NaN,shaved,-10.9,NaN,D
192,18.99,8.7,50,FCxr,NaN,shaved,-10.9,-1.5,D
185,18.22,8.2,45,FCxr,NaN,shaved,-10.9,NaN,D
157,15.07,6.3,40,FCxr,NaN,shaved,-10.9,-0.2,M
172,16.77,7.3,35,FCxr,NaN,shaved,-10.9,NaN,M
199,19.75,9.1,30,FCxr,NaN,shaved,-10.9,-0.1,M
168,16.32,7.1,25,FCxr,NaN,shaved,-10.9,NaN,M
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
