#Location,"Fraer, CO",,,,,,,,
#Site,Berthoud Pass,,,,,,,,
#Pit_ID,bp1,,,,,,,,
#Date_Time,2022-02-25-1215,,,,,,,,
#UTM_Zone,13S,,,,,,,,
#Easting,433402,,,,,,,,
#Northing,4406251,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Kaitlin,,,,,,,,
#Timing,3 hours,,,,,,,,
#Notes,,,,,,,,,
#Total_snow_depth(cm),139,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
767,73.12,214.4,139,PP,NaN,compacted,-9.8,-9.5,D
767,73.12,214.4,139,PP,NaN,compacted,-9.8,-9.5,D
741,71.32,187.2,139,PP,NaN,compacted,-9.8,-9.5,D
591,60.13,87.7,137,PP,NaN,compacted,-9.8,NaN,D
566,58.11,77.7,137,PP,NaN,compacted,-9.8,NaN,D
535,55.54,66.9,137,PP,NaN,compacted,-9.8,NaN,D
583,59.49,84.4,135,PP,NaN,compacted,-9.8,-8.6,D
605,61.24,93.9,135,PP,NaN,compacted,-9.8,-8.6,D
589,59.97,86.8,135,PP,NaN,compacted,-9.8,-8.6,D
470,49.91,48.9,133,DF,90,compacted,-9.8,NaN,D
462,49.19,47,133,DF,90,compacted,-9.8,NaN,D
481,50.88,51.6,133,DF,90,compacted,-9.8,NaN,D
458,48.83,46.1,131,DF,170,normal,-9.8,NaN,D
478,50.62,50.8,131,DF,170,normal,-9.8,NaN,D
478,50.62,50.8,131,DF,170,normal,-9.8,NaN,D
472,50.08,49.3,129,DF,170,normal,-9.8,NaN,D
475,50.35,50.1,129,DF,170,normal,-9.8,NaN,D
465,49.46,47.7,129,DF,170,normal,-9.8,NaN,D
462,49.19,47,127,DF,170,normal,-9.8,NaN,D
460,49.01,46.5,127,DF,170,normal,-9.8,NaN,D
458,48.83,46.1,127,DF,170,normal,-9.8,NaN,D
476,50.44,50.3,125,DF,170,normal,-9.8,-8.9,D
472,50.08,49.3,125,DF,170,normal,-9.8,-8.9,D
468,49.73,48.4,125,DF,170,normal,-9.8,-8.9,D
300,33.32,19.7,123,MFcr,170,stacked,-9.8,NaN,D
310,34.38,20.9,123,MFcr,170,stacked,-9.8,NaN,D
386,42.07,31.8,121,FCxr<1,NaN,normal,-9.8,NaN,D
367,40.2,28.7,121,FCxr<1,NaN,normal,-9.8,NaN,D
347,38.2,25.7,121,FCxr<1,NaN,normal,-9.8,NaN,D
390,42.46,32.5,119,FCxr<1,160,normal,-9.8,NaN,D
388,42.26,32.2,119,FCxr<1,160,normal,-9.8,NaN,D
383,41.78,31.3,119,FCxr<1,160,normal,-9.8,NaN,D
403,43.71,34.8,117,FCxr<1,160,normal,-9.8,NaN,D
399,43.33,34.1,117,FCxr<1,160,normal,-9.8,NaN,D
391,42.55,32.7,117,FCxr<1,160,normal,-9.8,NaN,D
400,43.42,34.3,115,FCxr<1,160,normal,-9.8,-7.6,D
405,43.9,35.2,115,FCxr<1,160,normal,-9.8,-7.6,D
403,43.71,34.8,115,FCxr<1,160,normal,-9.8,-7.6,D
380,41.48,30.8,113,FCxr<1,160,normal,-9.8,NaN,D
381,41.58,31,113,FCxr<1,160,normal,-9.8,NaN,D
372,40.7,29.5,113,FCxr<1,160,normal,-9.8,NaN,D
358,39.31,27.4,111,FCxr<1,NaN,normal,-9.8,NaN,D
376,41.09,30.2,111,FCxr<1,NaN,normal,-9.8,NaN,D
354,38.9,26.8,111,FCxr<1,NaN,normal,-9.8,NaN,D
351,38.6,26.3,109,FCxr<1,NaN,normal,-9.8,NaN,D
340,37.49,24.8,109,FCxr<1,NaN,normal,-9.8,NaN,D
341,37.59,24.9,109,FCxr<1,NaN,normal,-9.8,NaN,D
345,38,25.5,107,FCxr<1,NaN,normal,-9.8,NaN,D
342,37.69,25,107,FCxr<1,NaN,normal,-9.8,NaN,D
338,37.28,24.5,107,FCxr<1,NaN,normal,-9.8,NaN,D
309,34.27,20.8,105,FCxr,230,normal,-9.8,NaN,D
300,33.32,19.7,105,FCxr,230,normal,-9.8,NaN,D
320,35.43,22.1,105,FCxr,230,normal,-9.8,NaN,D
294,32.68,19.1,103,FCxr,230,normal,-9.8,NaN,D
290,32.25,18.6,103,FCxr,230,normal,-9.8,NaN,D
308,34.17,20.7,103,FCxr,230,normal,-9.8,NaN,D
278,30.95,17.4,101,FCxr,230,normal,-9.8,NaN,D
291,32.36,18.7,101,FCxr,230,normal,-9.8,NaN,D
285,31.71,18.1,101,FCxr,230,normal,-9.8,NaN,D
276,30.73,17.2,99,FCxr,230,normal,-9.8,NaN,D
