#Location,Bacon Rind,,,,,
#Site,BR1,,,,,
#PitID,BR1-20220103,,,,,
#Date/Time,2022-01-03-16:45,,,,,
#UTM Zone,12T,,,,,
#Easting [m],494907,,,,,
#Northing [m],4977754,,,,,
#Instrument,N/A,,,,,
#Profile ID,N/A,,,,,
#Operator,Kaitlin Meyer,,,,,
#Timing,60min,,,,,
#Notes,N/A,,,,,
#Total snow depth (cm),71,,,,,
#,,,,,,
#Sample_Signal(mV), Reflectance(%),Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density, Comments
696.6,58.73,79.3,71,PP,NaN,
729.5,60.74,89.5,71,PP,NaN,
607.6,52.97,57.1,65,PP,NaN,
552.1,49.14,46.2,60,DF,NaN,
542.1,48.42,44.5,55,DF,NaN,
497.2,45.14,37.2,50,DF,NaN,
499.6,45.32,37.5,45,RG,NaN,
502,45.49,37.9,45,RG,NaN,
475.9,43.52,34,40,RG,NaN,
444.7,41.1,29.8,35,RG,NaN,
426.3,39.63,27.5,30,FC,NaN,
205.7,19.64,9.1,30,FC,NaN,
385.5,36.28,22.9,25,FC,NaN,
389.5,36.62,23.3,20,FCxr,NaN,
NaN,NaN,NaN,0,FC,NaN,
