#Location,Montana,,,,,
#Site,Yellowstone Park,,,,,
#Pit_ID,br2,,,,,
#Date_Time,2022-01-14-1400,,,,,
#UTM_Zone,12T,,,,,
#Easting,494907,,,,,
#Northing,4977754,,,,,
#Instrument,N/A,,,,,
#Profile_ID,N/A,,,,,
#Operator,Kaitlin Meyer,,,,,
#Timing,60min,,,,,
#Notes,N/A,,,,,
#Total_snow_depth(cm),75,,,,,
#,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Comments
488.1,44.79,36.4,75,DF,NaN,
483,44.4,35.6,75,DF,NaN,
468.1,43.25,33.4,75,DF,NaN,
450.5,41.86,31,70,DF,NaN,
430.8,40.28,28.4,70,DF,NaN,
425.3,39.84,27.8,70,DF,NaN,
425,39.81,27.7,65,DF,NaN,
428.2,40.07,28.1,65,DF,NaN,
417.1,39.17,26.8,65,DF,NaN,
460.6,42.66,32.4,60,DF,NaN,
469.1,43.32,33.6,60,DF,NaN,
463.8,42.91,32.8,60,DF,NaN,
415.5,39.04,26.6,55,RG,NaN,
416.6,39.13,26.7,55,RG,NaN,
423.5,39.69,27.5,55,RG,NaN,
403.1,38.01,25.1,50,RG,NaN,
406.9,38.32,25.6,50,RG,NaN,
410.2,38.6,25.9,50,RG,NaN,
367.8,35.01,21.4,45,RG,NaN,
369.6,35.17,21.5,45,RG,NaN,
388.8,36.81,23.5,45,RG,NaN,
363.1,34.6,20.9,40,RG,NaN,
359.4,34.28,20.5,40,RG,NaN,
350.2,33.48,19.7,40,RG,NaN,
359.4,34.28,20.5,35,RG,NaN,
360.6,34.39,20.6,35,RG,NaN,
331.8,31.84,18,35,RG,NaN,
336.3,32.24,18.4,30,FC,NaN,
336,32.21,18.4,30,FC,NaN,
337.4,32.34,18.5,30,FC,NaN,
331,31.77,17.9,25,FC,NaN,
323.3,31.07,17.3,25,FC,NaN,
315.2,30.33,16.6,25,FC,NaN,
324.7,31.2,17.4,20,FC,NaN,
238.6,23.01,11.2,20,FC,NaN,
323.1,31.05,17.3,20,FC,NaN,
323.4,31.08,17.3,15,MFcr,NaN,
314.1,30.23,16.5,15,MFcr,NaN,
310.9,29.94,16.3,15,MFcr,NaN,
275,26.57,13.6,10,FC,NaN,
257.6,24.88,12.4,10,FC,NaN,
260,25.12,12.6,10,FC,NaN,
231.3,22.28,10.7,5,FC,NaN,
238.1,22.96,11.1,5,FC,NaN,
268.1,25.9,13.1,5,FC,NaN,
