#Location,Bonnie Park,,,,,,,,
#Site,1,,,,,,,,
#Pit_ID,20220130clebp1,,,,,,,,
#Date_Time,2022-01-30-13:40,,,,,,,,
#UTM_Zone,17T,,,,,,,,
#Easting,430214,,,,,,,,
#Northing,4576024,,,,,,,,
#Instrument,NaN,,,,,,,,
#Profile_ID,NaN,,,,,,,,
#Operator,Kaitlin Meyer,,,,,,,,
#Timing,50min,,,,,,,,
#Notes,NaN,,,,,,,,
#Total_snow_depth(cm),28,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
635.2,55.13,64.3,28,PP,95,compacted,-4.5,-1,M
624.3,54.41,61.7,28,PP,95,compacted,-4.5,-1,M
583.5,51.63,52.9,28,PP,95,not compacted,-4.5,-1,M
551.8,49.4,46.8,28,PP,95,not compacted,-4.5,-1,M
448.1,41.58,30.5,25,PP,95,compacted,-4.5,NaN,M
449.6,41.7,30.7,25,PP,95,compacted,-4.5,NaN,M
441.5,41.06,29.7,25,PP,95,compacted,-4.5,NaN,M
450.8,41.8,30.9,25,PP,95,compacted,-4.5,NaN,M
450.5,41.77,30.9,25,PP,95,compacted,-4.5,NaN,M
421.4,39.43,27.2,20,DF,155,compacted,-4.5,-3.25,D
435.3,40.56,28.9,20,DF,155,compacted,-4.5,-3.25,D
417,39.07,26.6,20,DF,155,compacted,-4.5,-3.25,D
434.5,40.5,28.8,20,DF,155,compacted,-4.5,-3.25,D
420.7,39.38,27.1,20,DF,155,compacted,-4.5,-3.25,D
294.6,28.36,15,15,MFcr,205,brushed,-4.5,NaN,D
336,32.14,18.3,15,MFcr,205,brushed,-4.5,NaN,D
385.1,36.42,23,15,FC,205,shaved,-4.5,NaN,D
387.6,36.63,23.3,15,FC,205,shaved,-4.5,NaN,D
386.2,36.51,23.2,15,FC,205,shaved,-4.5,NaN,D
378.1,35.82,22.3,15,FC,205,shaved,-4.5,NaN,D
363.6,34.57,20.9,10,FC,205,shaved,-4.5,-3.1,D
363.6,34.57,20.9,10,FC,205,shaved,-4.5,-3.1,D
373.2,35.4,21.8,10,FC,205,shaved,-4.5,-3.1,D
371.8,35.28,21.7,5,FCxr,210,shaved,-4.5,NaN,D
365.4,34.73,21,5,FCxr,210,shaved,-4.5,NaN,D
355,33.82,20,5,FCxr,210,shaved,-4.5,NaN,D
