#Location,Bonnie Park,,,,,,,,
#Site,2,,,,,,,,
#Pit_ID,20220131clebp2,,,,,,,,
#Date_Time,2022-01-31-11:00,,,,,,,,
#UTM_Zone,17T,,,,,,,,
#Easting,430162,,,,,,,,
#Northing,4576024,,,,,,,,
#Instrument,NaN,,,,,,,,
#Calibration_quality,excellent,,,,,,,,
#Operator,Kaitlin Meyer,,,,,,,,
#Timing,30min,,,,,,,,
#Notes,Samples beginning to melt when placed in IceCube,,,,,,,,
#Total_snow_depth(cm),25,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
491.6,45.35,37.5,25,PP,140,compacted,-1,-1,M
498.6,45.88,38.6,25,PP,140,compacted,-1,-1,M
480.2,44.48,35.8,25,PP,140,compacted,-1,-1,M
399.4,37.97,25.1,20,DF,150,compacted,-1,-5,D
394.6,37.57,24.5,20,DF,150,compacted,-1,-5,D
364,34.94,21.3,20,DF,150,compacted,-1,-5,D
303.2,29.46,15.9,15,DF,150,compacted,-1,NaN,D
361.1,34.69,21,15,DF,150,compacted,-1,NaN,D
301.4,29.29,15.7,15,DF,150,compacted,-1,NaN,D
391.7,37.32,24.2,10,FCxr,220,shaved,-1,-5,D
388.8,37.07,23.9,10,FCxr,220,shaved,-1,-5,D
412.2,39.04,26.6,10,FCxr,220,shaved,-1,-5,D
345.3,33.29,19.5,5,FCxr,220,shaved,-1,NaN,D
338.4,32.68,18.8,5,FCxr,220,shaved,-1,NaN,D
320.5,31.05,17.3,5,FCxr,220,shaved,-1,NaN,D
