#Location,Montana,,,,,
#Site,Kagy Blvd Field,,,,,
#Pit_ID,field1,,,,,
#Date_Time,2022-01-11-1400,,,,,
#UTM_Zone,,,,,,
#Easting,,,,,,
#Northing,,,,,,
#Instrument,,,,,,
#Profile_ID,,,,,,
#Operator,"Kaitlin Meyer, Paul Merimee",,,,,
#Timing,45 min,,,,,
#Notes,,,,,,
#Total_snow_depth(cm),,,,,,
#,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Comments
398.3,37.71,24.8,24,DF,NaN,
307.9,29.78,16.2,24,MFcr,NaN,Melt freeze
291.9,28.3,15,24,MFcr,NaN,Melt freeze
430.6,40.36,28.6,23,DF,NaN,
430.9,40.39,28.7,23,DF,NaN,
418.3,39.36,27.1,23,DF,NaN,
428.3,40.18,28.3,23,DF,NaN,
391.1,37.11,24,20,MFcr,NaN,
407,38.44,25.8,20,MFcr,NaN,
399.2,37.79,24.9,20,MFcr,NaN,
323.1,31.17,17.4,15,FC,NaN,
320.5,30.93,17.2,15,FC,NaN,
329.1,31.71,17.9,15,FC,NaN,
286,27.74,14.5,10,FC,NaN,
265.9,25.82,13.1,10,FC,NaN,
296.1,28.69,15.3,10,FC,NaN,
295.2,28.6,15.2,5,DH,NaN,
270.9,26.3,13.5,5,DH,NaN,
267.8,26.01,13.2,5,DH,NaN,
