#Location,Colorado,,,,,
#Site,Fraser Experimental Forest HQ,,,,,
#Pit_ID,fraser1,,,,,
#Date_Time,2022-02-23-11:22,,,,,
#UTM_Zone,13S,,,,,
#Easting,424546,,,,,
#Northing,4417696,,,,,
#Instrument,,,,,,
#Profile_ID,,,,,,
#Operator,Kaitlin,,,,,
#Timing,45 min,,,,,
#Notes,,,,,,
#Total_snow_depth(cm),62,,,,,
#,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Comments
700,63.45,106,62,PP,88,
730,65.42,120.7,62,PP,88,
625,58.28,77.1,60,PP,88,
630,58.64,78.8,60,PP,88,
525,50.8,50.5,55,DF,88,
575,54.63,62.5,55,DF,88,
580,55,63.8,55,DF,88,
360,36.7,23.4,50,FC,167,
400,40.34,28.5,50,FC,167,
310,31.93,18.1,45,FC,167,
395,39.9,27.8,45,FC,167,
378,38.36,25.6,45,FC,167,
251,25.95,13.2,40,FC,172,
251,25.95,13.2,40,FC,172,
230,23.72,11.6,35,FC,172,
227,23.4,11.4,35,FC,172,
243,25.11,12.6,30,FC,232,
221,22.75,11,30,FC,232,
250,25.84,13.1,25,FC,232,
228,23.51,11.5,25,FC,232,
228,23.51,11.5,20,FC,248,
227,23.4,11.4,20,FC,248,
245,25.32,12.7,15,FC,248,
230,23.72,11.6,15,FC,248,
195,19.89,9.2,10,FC,225,
205,21,9.9,10,FC,225,
190,19.33,8.9,5,FC,225,
202,20.67,9.7,5,FC,225,
