#Location,Fraser Experimental Forest HQ,,,,,,,,
#Site,,,,,,,,,
#Pit_ID,,,,,,,,,
#Date_Time,2022-02-24-1500,,,,,,,,
#UTM_Zone,,,,,,,,,
#Easting,,,,,,,,,
#Northing,,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Kaitlin,,,,,,,,
#Timing,2 hours,,,,,,,,
#Notes,,,,,,,,,
#Total_snow_depth(cm),81,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
629,54.7,62.8,82,PP,80,compacted,-12,-4.7,D
580,51.37,52.1,80,PP,80,compacted,-12,NaN,D
610,53.43,58.4,78,PP,110,compacted,-12,-6.3,D
578,51.23,51.7,76,DF,110,compacted,-12,NaN,D
578,51.23,51.7,74,DF,130,compacted,-12,-5.7,D
556,49.68,47.5,72,DF,130,compacted,-12,NaN,D
549,49.18,46.2,70,DF,160,compacted,-12,-5.2,D
442,41.09,29.7,68,DF,160,compacted,-12,NaN,D
426,39.8,27.7,66,DF,190,compacted,-12,-4.6,D
409,38.41,25.7,64,DF,190,compacted,-12,NaN,D
345,32.94,19.1,62,FCxr,190,shaved,-12,-4.4,D
340,32.5,18.7,60,FCxr,190,shaved,-12,NaN,D
315,30.25,16.6,58,FCxr,200,shaved,-12,-4,D
292,28.13,14.8,56,FCxr,200,shaved,-12,NaN,D
293,28.22,14.9,54,FCxr,230,shaved,-12,-3.6,D
257,24.79,12.4,52,FCxr,230,shaved,-12,NaN,D
278,26.81,13.8,50,FCxr,220,shaved,-12,-3.1,D
265,25.56,12.9,48,FCxr,220,shaved,-12,NaN,D
257,24.79,12.4,46,FCxr,220,shaved,-12,-2.7,D
253,24.4,12.1,44,FCxr,230,shaved,-12,NaN,D
241,23.21,11.3,42,FCxr,230,shaved,-12,-2.5,D
255,24.59,12.2,40,FCxr,260,shaved,-12,NaN,D
252,24.3,12,38,FCxr,260,shaved,-12,-2.2,D
255,24.59,12.2,36,FCxr,250,shaved,-12,NaN,D
255,24.59,12.2,34,FCxr,250,shaved,-12,-2,D
248,23.91,11.8,32,FCxr,280,shaved,-12,NaN,D
256,24.69,12.3,30,FCxr,280,shaved,-12,-1.8,D
258,24.88,12.4,28,FCxr,290,shaved,-12,NaN,D
255,24.59,12.2,26,FCxr,290,shaved,-12,-1.8,D
290,27.94,14.6,24,FCxr,280,shaved,-12,NaN,D
250,24.1,11.9,22,FCxr,280,shaved,-12,-1.7,D
238,22.92,11.1,20,FCxr,300,shaved,-12,NaN,D
234,22.52,10.9,18,FCxr,300,shaved,-12,-1.7,D
236,22.72,11,16,FC,270,shaved,-12,NaN,D
228,21.92,10.5,14,FC,270,shaved,-12,-1.5,D
225,21.61,10.3,12,FC,270,shaved,-12,NaN,D
205,19.57,9,10,FC,270,shaved,-12,-1.3,D
245,23.61,11.6,8,FC,250,shaved,-12,NaN,D
215,20.6,9.7,6,FC,250,shaved,-12,-1.2,D
