#Location,Moab,,,,,,,,
#Site,La Sal Mountain SnoTel,,,,,,,,
#Pit_ID,lasal1,,,,,,,,
#Date_Time,2022-03-14-1100,,,,,,,,
#UTM_Zone,12S,,,,,,,,
#Easting,650731,,,,,,,,
#Northing,4260725,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Kaitlin Meyer,,,,,,,,
#Timing,2 hours,,,,,,,,
#Notes,,,,,,,,,
#Total_snow_depth(cm),107,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
650,56.58,69.9,107,PP,100,compacted,-0.8,-2.9,M
288,28.07,14.7,106,MFcr,100,stacked,-0.8,NaN,M
360,34.64,20.9,104,DF,100,compacted,-0.8,NaN,M
420,39.73,27.6,102,RG,300,shaved,-0.8,-4.3,M
420,39.73,27.6,98,RG,220,shaved,-0.8,-4.3,M
445,41.75,30.8,96,RG,210,shaved,-0.8,NaN,M
435,40.95,29.5,94,RG,210,shaved,-0.8,NaN,M
425,40.14,28.2,92,RG,220,shaved,-0.8,NaN,M
430,40.54,28.9,90,RG,220,shaved,-0.8,-3.4,M
435,40.95,29.5,88,RG,220,shaved,-0.8,NaN,M
446,41.83,31,86,RG,240,shaved,-0.8,NaN,M
443,41.59,30.6,84,RG,250,shaved,-0.8,NaN,M
446,41.83,31,82,RG,250,shaved,-0.8,NaN,M
365,35.07,21.4,80,RG,270,shaved,-0.8,-2.3,M
200,19.28,8.9,78,MFcr,330,stacked,-0.8,NaN,M
265,25.86,13.1,76,MFcr,330,stacked,-0.8,NaN,M
300,29.2,15.7,74,MFcr,330,stacked,-0.8,NaN,M
130,11.61,4.4,72,IF,330,not stacked,-0.8,NaN,M
155,14.43,6,72,IF,330,not stacked,-0.8,NaN,M
362,34.81,21.1,70,FCxr,330,normal,-0.8,NaN,M
370,35.51,21.9,70,FCxr,330,normal,-0.8,-1.3,M
170,16.07,6.9,67,MFcr,350,stacked,-0.8,NaN,M
140,12.75,5,66,MFcr,430,stacked,-0.8,NaN,M
192,18.44,8.3,64,MFcr,430,stacked,-0.8,NaN,M
189,18.12,8.2,62,MFcr,230,stacked,-0.8,NaN,M
216,20.95,9.9,60,FC,320,normal,-0.8,-1.4,M
230,22.38,10.8,58,FC,320,normal,-0.8,NaN,M
236,22.99,11.2,56,FC,270,normal,-0.8,NaN,M
230,22.38,10.8,54,FC,280,normal,-0.8,NaN,M
240,23.39,11.4,52,FC,280,normal,-0.8,NaN,M
327,31.69,17.9,50,FC,300,normal,-0.8,-0.1,M
236,22.99,11.2,48,FC,310,normal,-0.8,-0.1,M
253,24.68,12.3,46,FC,310,normal,-0.8,-0.1,M
251,24.49,12.1,44,FC,340,normal,-0.8,-0.1,M
242,23.59,11.6,42,FC,340,normal,-0.8,-0.1,M
253,24.68,12.3,40,FC,340,normal,-0.8,-0.1,M
256,24.98,12.5,38,FC,350,normal,-0.8,-0.1,M
256,24.98,12.5,36,FC,340,normal,-0.8,-0.1,M
249,24.29,12,34,FC,340,normal,-0.8,-0.1,M
238,23.19,11.3,32,FCxr,340,normal,-0.8,-0.1,M
223,21.67,10.3,30,FCxr,340,normal,-0.8,-0.1,M
218,21.16,10,28,FCxr,340,normal,-0.8,-0.1,M
240,23.39,11.4,26,FCxr,330,normal,-0.8,-0.1,M
214,20.74,9.7,24,FCxr,290,normal,-0.8,-0.1,M
215,20.85,9.8,22,FCxr,290,normal,-0.8,-0.1,M
217,21.05,9.9,20,FCxr,300,normal,-0.8,-0.1,M
205,19.81,9.2,18,FCxr,290,normal,-0.8,-0.1,M
215,20.85,9.8,16,FCxr,280,normal,-0.8,-0.1,M
220,21.36,10.1,14,FCxr,290,normal,-0.8,-0.1,M
211,20.43,9.6,12,FCxr,310,normal,-0.8,-0.1,M
213,20.64,9.7,10,FCxr,310,normal,-0.8,-0.1,M
226,21.97,10.5,8,FCxr,300,normal,-0.8,-0.1,M
246,23.99,11.8,6,FCxr,300,normal,-0.8,-0.1,M
230,22.38,10.8,4,FCxr,300,normal,-0.8,-0.1,M
