#Location,Moab,,,,,
#Site,La Sal Mountain SnoTel,,,,,
#Pit_ID,lasal2,,,,,
#Date_Time,2022-03-18-1500,,,,,
#UTM_Zone,12S,,,,,
#Easting,650836,,,,,
#Northing,4260561,,,,,
#Instrument,IceCube,,,,,
#Profile_ID,,,,,,
#Operator,Kaitlin Meyer,,,,,
#Timing,45 min,,,,,
#Notes,,,,,,
#Total_snow_depth(cm),104,,,,,
#,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Comments
594,53.46,58.5,104,DF,156.5,
502,46.74,40.5,100,DF,156.5,
468,44.09,35,95,RG,156.5,
432,41.19,29.9,90,RG,223.5,
423,40.45,28.7,85,RG,223.5,
390,37.67,24.7,80,RG,272,
365,35.5,21.9,75,RG,272,
386,37.32,24.2,70,RG,255,
231,22.78,11,65,FCxr,255,
242,23.9,11.8,60,FCxr,302,
232,22.88,11.1,55,FCxr,302,
243,24,11.8,50,FCxr,319,
238,23.49,11.5,45,FCxr,319,
242,23.9,11.8,40,FCxr,325,
220,21.65,10.3,35,FCxr,325,
212,20.82,9.8,30,MFcr,324,
214,21.02,9.9,25,FCxr,324,
226,22.27,10.7,20,FCxr,294,
180,17.41,7.7,15,MFcr,294,
200,19.55,9,10,MFcr,NaN,
210,20.61,9.7,5,MFcr,NaN,
