Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69003,20.57859,19.88269,,,279.22038,112.78671,40.39344,301.89513,832.53938,104.30955,7.38154,2.98166,-2.55041,2.24039,2.12513,11.92064,3077.85064,3077.88924,254.56549,3205.15268,5.22559,5.22562,1.50283,5.33256,1.47691,17.24274,31.88595,0.7358,61.5804,-2.07307,0.47636,0.84796,0.83963,2.50564,38.0,1853.0,0.48468,40.35098,0.42789,165.949,59.43298,166.43367,59.60656,7.113431
662.0,7.43613,20.57859,19.88269,,,201.64182,86.40939,42.85291,223.75701,679.81026,85.308,7.86732,3.37138,-2.07557,2.1837,2.15472,14.26918,1322.98723,1324.90551,209.71726,1428.805,3.91404,3.91688,1.55835,4.06756,2.26831,5.31763,13.05672,0.72538,67.72255,-1.58293,0.42853,1.0,0.63089,2.56788,21.0,1635.0,0.26449,30.19126,0.30516,114.96794,57.01592,115.23243,57.14709,9.400736
951.0,1.69003,20.57859,19.88269,,,324.40613,144.25892,44.46862,327.8228,1273.49431,120.85304,8.82784,3.92562,-4.21307,2.33987,2.34398,11.26147,4433.63523,4431.48684,392.46498,4628.79352,5.54728,5.54594,1.65044,5.66806,0.87095,14.99794,14.76044,0.29848,44.55817,-2.86349,0.39978,1.11232,0.5632,2.62669,46.0,3099.0,0.56509,63.67022,0.39019,179.58212,55.35719,180.14721,55.53138,11.113431
155.0,1.69003,4.75196,19.88269,,,38.67226,18.40426,47.59036,65.92371,120.58855,14.91143,6.55221,3.11822,2.11483,2.11918,1.94285,3.32452,31.19391,30.99714,34.10042,48.14574,1.30162,1.29751,1.36091,1.61707,1.44769,1.26581,-0.63735,84.12538,44.2186,1.9366,0.619,0.76882,0.61441,2.45553,5.0,7.0,0.02019,0.83229,0.10958,20.2478,52.35744,20.26799,52.40964,12.3220995
168.0,6.60105,9.92146,19.88269,,,49.325,26.65801,54.04563,77.52216,165.31823,19.16166,6.20145,3.35161,1.16684,2.18848,2.30534,8.27306,53.66819,54.65511,61.03059,84.67695,1.41873,1.43172,1.51292,1.78207,-0.23212,-0.64499,-0.38045,85.67636,169.36356,1.12893,0.59487,0.90853,0.50004,2.51157,4.0,18.0,0.03583,1.26619,0.13421,22.63117,45.88173,22.66699,45.95437,12.8261255
294.0,14.75296,20.57859,19.88269,,,86.31966,36.5822,42.37992,113.62816,296.39861,47.74012,8.10226,3.43373,-3.17939,2.14013,2.08288,17.67287,149.91837,151.29899,89.49482,195.35609,2.02528,2.03458,1.56479,2.31191,0.29604,-1.37087,4.05778,3.94317,108.83995,-2.35444,0.43697,0.96986,0.66688,2.5225,10.0,678.0,0.1538,15.87046,0.41867,49.58366,57.44191,49.73746,57.62008,13.7665775
274.0,15.15061,20.57859,19.88269,,,105.06144,45.2204,43.04186,128.05875,383.99192,41.14565,8.49156,3.65493,-3.41409,2.41166,2.41449,17.88714,179.9064,182.87201,136.66624,249.72232,1.99561,2.01199,1.73933,2.35115,-1.78809,-0.75535,-0.99942,1.53173,231.65715,-2.41234,0.39809,1.08121,0.56979,2.59331,16.0,1080.0,0.21444,21.96205,0.47197,59.6266,56.75403,59.84104,56.95814,13.78646
951.0,1.69003,20.57859,19.88269,,,358.71591,157.11238,43.79855,346.4059,1240.9606,132.75078,7.89855,3.45945,-4.67931,2.436,2.49726,11.29484,4968.46516,4965.94802,472.27418,5203.34368,5.62704,5.62562,1.73487,5.75851,-2.01151,7.58233,14.56434,0.20925,62.52594,-3.55456,0.39401,1.11161,0.64179,2.62005,26.0,4535.0,0.90923,95.86283,0.57538,200.69431,55.94798,201.60354,56.20145,14.113431
951.0,1.69003,20.57859,19.88269,,,406.63001,172.60115,42.44673,371.55934,1368.30558,121.63476,7.92756,3.36499,-3.78106,2.578,2.62809,11.26008,5470.64702,5486.60702,571.56529,5764.40967,5.63274,5.64095,1.82068,5.782,-1.96462,-7.50905,18.03425,0.2279,112.6881,-2.86171,0.43521,0.97531,0.65164,2.62167,76.0,3781.0,0.70314,76.97765,0.40573,233.32571,57.38035,234.02886,57.55327,15.113431
951.0,1.69003,20.57859,19.88269,,,388.18196,193.42513,49.82847,361.47091,1152.06395,50.94759,5.95612,2.96785,1.14607,2.57101,2.5237,11.48924,6130.12609,6146.95394,622.25316,6449.6666,5.62903,5.63675,1.79342,5.77387,8.08895,71.27958,-2.76524,0.74179,357.86876,1.15451,0.63134,0.78925,0.58199,2.61019,15.0,85.0,0.10598,4.38775,0.05476,194.65086,50.14423,194.75684,50.17153,16.113431
364.0,1.69003,8.90745,19.88269,,,135.10218,61.59367,45.59044,154.313,409.32133,25.13476,6.64551,3.02972,1.46864,2.40176,2.36346,5.50596,356.59299,368.25747,175.98581,450.41814,2.40578,2.44481,1.69008,2.70381,-1.40321,-1.34879,5.86618,1.80371,104.14791,1.32599,0.60076,0.75887,0.59798,2.56287,7.0,27.0,0.04858,1.79481,0.07881,73.45993,54.37361,73.5085,54.40956,16.529874
