Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69003,20.57859,19.88269,,,324.40613,131.17924,40.43673,327.8228,1583.17579,99.248,12.0688,4.88023,-1.52596,2.28393,2.30428,11.57571,4075.97331,4090.42327,363.77974,4265.08816,5.57607,5.58594,1.66583,5.70396,-4.67503,0.1566,35.49403,0.54564,89.81838,-0.75863,0.30083,1.34419,0.51734,2.65235,47.0,2608.0,0.38523,47.8704,0.2928,192.84167,59.44452,193.2269,59.56327,3.1134310000000003
316.0,1.69003,7.95308,19.88269,,,98.7972,43.31844,43.84581,124.75556,443.55404,19.35444,10.23938,4.48954,2.47925,2.28798,2.25213,4.85854,198.26455,192.0493,104.32296,247.3184,2.13854,2.10475,1.55126,2.38849,-0.5645,4.51395,-0.18862,2.74907,357.07225,1.45277,0.40201,1.09066,0.41261,2.60326,24.0,24.0,0.02368,1.28454,0.05462,55.45509,56.13022,55.47876,56.15419,4.4821555
472.0,9.82205,19.1868,19.88269,,,147.57112,59.78465,40.51243,170.89598,567.43572,58.21315,9.49133,3.84517,0.42001,2.21357,2.22475,14.62294,527.88162,531.66725,151.32647,605.43767,2.97137,2.98201,1.59091,3.18217,7.15801,8.19015,-8.50963,1.75246,314.15344,0.26551,0.38685,1.04725,0.59387,2.58605,24.0,699.0,0.09619,11.78089,0.16064,87.69028,59.42239,87.78647,59.48757,5.4504425
874.0,3.221,20.57859,19.88269,,,415.03407,174.01359,41.92754,365.79955,1625.40218,114.20491,9.34066,3.91631,-3.90045,2.86351,2.8311,11.92707,4832.45027,4800.33832,636.14332,5134.46595,5.27305,5.2555,1.91318,5.43533,1.24691,-36.39617,28.36211,0.63157,141.86265,-2.50547,0.36287,1.15543,0.62607,2.65067,39.0,4619.0,0.73694,92.41334,0.42171,240.28354,57.8949,241.02049,58.07246,7.1899795
951.0,1.69003,20.57859,19.88269,,,227.92018,82.84369,36.34767,270.18934,890.74198,83.42903,10.75208,3.90813,0.49138,1.94404,1.97119,11.15722,2450.49318,2443.93147,157.51814,2525.9714,5.4384,5.43112,1.37883,5.52152,-2.60932,-10.29295,-47.12045,1.2072,257.77138,0.2742,0.35457,1.02513,0.64083,2.53419,47.0,953.0,0.16205,17.4373,0.19522,144.91445,63.58123,145.0765,63.65233,9.113431
708.0,1.69003,15.74709,19.88269,,,189.08643,75.7519,40.06205,220.37182,625.79445,65.8186,8.26111,3.30957,-1.16326,2.19341,2.00512,8.75185,1393.97649,1389.0425,156.63494,1469.82696,4.29053,4.28293,1.43823,4.40571,5.4319,40.94493,-2.83908,1.89669,356.26768,-0.84487,0.45519,0.88011,0.74465,2.50761,26.0,1112.0,0.16257,20.39633,0.21415,113.17196,59.85197,113.33453,59.93795,12.871856000000001
215.0,16.32369,20.57859,19.88269,,,57.41951,20.26806,35.29821,85.5257,190.45572,25.64246,9.39684,3.31692,0.26931,2.15855,2.09528,18.39447,54.17143,52.22276,39.48178,72.93798,1.63484,1.60517,1.39569,1.897,1.86114,1.35822,2.19206,11.97162,58.37111,0.17196,0.39197,0.90053,0.81663,2.42231,9.0,181.0,0.0256,3.27231,0.12616,37.12585,64.6572,37.15145,64.70179,13.845114
951.0,1.69003,20.57859,19.88269,,,305.42737,126.57813,41.44296,317.05549,1297.2944,97.83788,10.24896,4.24747,-3.07238,2.27361,2.29051,11.15748,4054.51945,4044.963,322.53017,4211.00631,5.66272,5.65604,1.59713,5.77096,-3.11267,6.79968,-13.63153,0.2345,296.48109,-1.79865,0.32802,1.26341,0.55438,2.62316,26.0,2828.0,0.4282,54.11471,0.33715,178.42104,58.41685,178.84924,58.55704,15.113431
951.0,1.69003,20.57859,19.88269,,,266.68498,110.65571,41.49304,294.37504,1019.54264,82.96632,9.21365,3.82302,-1.14113,2.09472,2.14451,10.66866,3325.28285,3333.30145,241.34575,3449.96503,5.48294,5.48954,1.47713,5.58478,3.55991,-0.42925,0.84335,0.01753,116.99649,-0.74311,0.38648,1.07361,0.58345,2.57201,34.0,1808.0,0.27531,33.52516,0.24818,155.75396,58.40372,156.02927,58.50696,16.113431
343.0,1.69003,8.48991,19.88269,,,100.70647,40.92049,40.63343,127.66938,404.48766,40.02374,9.88472,4.0165,-0.83412,2.21933,2.18477,5.12647,204.62506,206.21909,97.22586,254.03501,2.23656,2.24525,1.54167,2.492,-0.38509,-3.51722,2.85512,2.40551,141.30046,-0.50631,0.37169,1.09321,0.60865,2.55819,15.0,573.0,0.08455,10.43899,0.2062,59.70142,59.28261,59.78598,59.36657,17.508997
