Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
788.0,5.6268,21.27448,19.88269,,,353.56371,106.39265,30.09151,342.35392,1267.7768,12.21926,11.91602,3.58571,1.8548,2.3132,2.28548,13.60441,2214.12326,2217.52097,266.18896,2348.9166,4.56037,4.56387,1.58123,4.69714,2.50399,59.02185,24.63644,1.87975,22.67246,0.93394,0.34008,0.88482,0.59998,2.65657,39.0,592.0,0.06471,6.37335,0.06079,247.10634,69.89019,247.17106,69.90849,11.345064
937.0,0.35789,18.96809,19.88269,,,549.74541,237.69226,43.23679,438.08659,3049.24849,137.32943,12.82856,5.54666,-3.01349,3.04943,3.06888,10.19527,7305.11467,7323.12766,1102.31624,7865.27929,5.54748,5.55431,2.15494,5.75624,-5.65482,4.92323,-8.38693,0.08971,300.51143,-1.40943,0.27578,1.5678,0.4025,2.71696,88.0,9396.0,0.7862,105.29656,0.32967,311.26695,56.6202,312.05315,56.76321,12.966299
735.0,6.76012,21.35401,19.88269,,,719.78556,191.44035,26.59686,508.11338,1829.55719,23.90469,9.5568,2.54181,1.38306,3.54478,3.56115,13.89406,4213.76381,4193.77069,954.754,4681.14425,4.69067,4.67953,2.23278,4.94397,3.92811,11.67749,19.86225,0.40733,59.66775,0.86832,0.40354,0.65908,0.92877,2.61751,43.0,1654.0,0.19235,18.53279,0.10038,528.15286,73.37642,528.34521,73.40314,22.4057065
693.0,1.25261,15.01143,19.88269,,,675.14203,268.04383,39.70184,459.07615,3413.49356,132.05931,12.73483,5.05596,-1.10863,3.96546,4.01621,8.27615,5279.31646,5244.7156,2111.68258,6317.85732,4.4392,4.42463,2.80757,4.85625,19.51077,19.92077,-16.30789,0.46487,320.45488,-0.52233,0.27844,1.42589,0.42661,2.74534,51.0,8343.0,0.66342,90.26575,0.24689,406.43479,60.19989,407.09821,60.29816,23.813201999999997
951.0,1.69003,20.57859,19.88269,,,621.17458,243.57533,39.21206,471.58832,3108.32664,135.36511,12.76125,5.00395,-0.82873,3.23733,3.25376,11.26431,7847.54221,7832.7833,1270.65264,8475.48907,5.67735,5.67201,2.28451,5.90013,-5.52617,-25.31114,-0.95412,0.22064,182.11551,-0.38964,0.2784,1.40847,0.43298,2.70463,71.0,7088.0,0.59142,75.24059,0.24222,377.00784,60.69273,377.59925,60.78794,26.113431
643.0,7.8139,20.57859,19.88269,,,264.50803,101.22834,38.27042,258.97705,1288.19876,74.19006,12.72567,4.87017,0.20552,2.57077,2.56536,14.21571,1523.43385,1524.31362,332.18113,1689.9643,3.8794,3.88052,1.81151,4.08594,-2.41715,-8.65578,-4.2836,0.46365,206.2426,0.0969,0.27957,1.36889,0.42504,2.69093,31.0,3110.0,0.20204,29.83196,0.1992,163.07764,61.65319,163.27968,61.72958,40.4196245
951.0,1.69003,20.57859,19.88269,,,787.41587,188.3222,23.91649,573.53632,2098.93689,18.44703,11.14546,2.6656,2.51477,2.8906,4.07509,11.2275,6035.48854,6002.97549,803.80352,6421.13377,5.65874,5.64347,2.06509,5.83672,2.13605,-22.12289,-332.39624,3.65137,266.19262,1.35379,0.35305,0.67743,1.00576,2.63097,64.0,782.0,0.07486,8.18425,0.03973,599.01882,76.07401,599.09367,76.08351,42.113431000000006
983.0,1.17308,20.69788,19.88269,,,1927.212,113.4461,5.88654,975.8251,1281.58541,12.33387,11.29687,0.66499,3.50784,3.28109,7.19226,11.85418,4596.80254,4209.86539,1239.10354,5022.88573,6.36156,6.08793,3.30285,6.64985,-443.68903,-798.24103,1205.19174,23.58408,123.45059,1.86309,0.36594,0.16086,5.06932,2.51615,445.0,33.0,0.02721,1.40804,0.02398,1813.7387,94.11205,1813.7659,94.11346,44.093548
951.0,1.69003,20.57859,19.88269,,,720.22451,268.29941,37.25219,512.59597,3713.81985,137.51384,13.84207,5.15648,0.75053,3.47879,3.48434,11.27774,8766.16511,8767.08315,1623.0773,9578.16278,5.71537,5.71567,2.45929,5.97421,2.78196,0.3719,26.58368,0.21322,89.17609,0.32532,0.26952,1.38216,0.39853,2.73833,49.0,7048.0,0.50722,70.41262,0.18869,451.41787,62.67738,451.9251,62.74781,49.113431000000006
1016.0,0.93449,21.11542,19.88269,,,765.1949,302.3575,39.51379,541.35462,3839.15236,163.399,12.69739,5.01722,1.24806,3.45433,3.44862,11.51964,10328.52604,10294.20365,1832.64662,11227.68815,5.84333,5.83362,2.46139,6.09238,11.95503,-48.95005,2.95511,0.33065,176.61164,0.58976,0.30583,1.29201,0.40577,2.73794,74.0,3912.0,0.44932,47.64389,0.14839,462.38807,60.42749,462.8374,60.48621,51.1024955
851.0,4.31454,21.21483,19.88269,,,597.68871,227.78005,38.11015,446.81617,3022.11428,125.84691,13.26769,5.05633,2.72246,3.36665,3.33053,12.79763,6077.55821,6073.17335,1280.06198,6715.39677,5.16261,5.16075,2.3693,5.42676,0.0557,-17.40886,-3.4935,0.21206,191.35778,1.23117,0.29493,1.29218,0.38178,2.73062,53.0,2124.0,0.18131,22.41352,0.07954,369.72735,61.85952,369.90866,61.88985,57.2764685
