Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
638.0,5.54727,18.21255,19.88269,,,287.85566,92.71296,32.20814,271.61359,1630.44586,60.36643,17.58595,5.66411,3.45485,2.67507,2.69087,11.89892,1414.86989,1414.49455,332.41008,1580.88726,3.90285,3.90233,1.89174,4.12547,0.12131,-1.21121,0.73913,0.0751,148.60087,1.17873,0.2186,1.4734,0.37757,2.71765,28.0,162.0,0.06182,5.09915,0.06663,195.08089,67.77038,195.1427,67.79186,1.187991
951.0,1.69003,20.57859,19.88269,,,391.20929,125.22307,32.00923,363.294,2240.17257,78.68563,17.88946,5.72628,3.19565,2.5758,2.59921,11.53515,3837.58898,3840.32265,409.35651,4043.63407,5.53102,5.53299,1.80645,5.67757,3.81588,15.14307,-36.71298,0.66264,292.38563,1.0718,0.21795,1.46865,0.37441,2.71486,51.0,221.0,0.09389,7.68138,0.07492,265.89234,67.96677,265.98623,67.99077,3.1134310000000003
836.0,3.97654,20.57859,19.88269,,,346.76038,116.06215,33.47042,326.00945,2012.65755,74.39714,17.3412,5.80417,3.67262,2.5997,2.55985,12.41655,2870.35511,2872.09005,388.9334,3065.68928,4.96816,4.96966,1.8288,5.13443,-0.27477,-1.28654,-1.4677,0.04504,228.74421,1.27071,0.22667,1.4766,0.3547,2.72337,42.0,215.0,0.09485,7.29413,0.08166,230.60338,66.50223,230.69823,66.52958,5.2277565
951.0,1.69003,20.57859,19.88269,,,613.56514,187.99722,30.64014,467.77769,3165.67458,101.01457,16.83894,5.15948,3.68137,3.23477,3.23399,11.51383,6029.14277,6029.19403,971.17834,6514.75757,5.65766,5.65768,2.27069,5.88109,-3.82272,-16.84858,-8.64644,0.21439,207.14072,1.31173,0.23391,1.3099,0.41458,2.70126,98.0,273.0,0.11699,9.43312,0.06219,425.45093,69.34079,425.56792,69.35986,8.113431
951.0,1.69003,20.57859,19.88269,,,308.11086,98.59204,31.99888,318.8422,1730.18788,69.07333,17.54896,5.61547,3.92067,2.30267,2.28517,11.41745,2995.11604,3000.24433,255.93387,3125.64712,5.50584,5.51055,1.60946,5.62454,-0.30775,-2.14044,-3.27727,0.08176,236.80433,1.34048,0.22473,1.42389,0.37531,2.67918,46.0,158.0,0.07416,5.4089,0.07516,209.44466,67.97705,209.51882,68.00112,9.113431
951.0,1.69003,20.57859,19.88269,,,804.72827,252.09382,31.32658,546.53095,4292.91458,124.18937,17.02904,5.33461,3.67847,3.68603,3.71484,11.28702,8314.12696,8321.89379,1700.32422,9168.17249,5.7373,5.73998,2.59457,6.02477,-7.05877,-33.46698,-13.26637,0.31159,201.55591,1.29607,0.23019,1.36091,0.3973,2.74549,125.0,450.0,0.24046,17.13205,0.09529,552.39399,68.64354,552.63446,68.67342,10.113431
951.0,1.69003,20.57859,19.88269,,,289.67029,92.99257,32.1029,308.13182,1631.79876,65.23983,17.54763,5.6333,3.66797,2.19723,2.21611,11.41059,2848.94986,2850.89152,226.31171,2963.07655,5.52951,5.53139,1.55847,5.63917,0.49747,-3.24913,2.46305,0.08903,142.85889,1.25418,0.22349,1.43643,0.37135,2.66719,45.0,194.0,0.08048,6.2474,0.08647,196.59723,67.86931,196.67772,67.8971,10.113431
937.0,1.69003,20.30023,19.88269,,,373.83577,116.71138,31.21996,352.46648,2009.32646,74.23817,17.2162,5.37489,4.17269,2.52246,2.54903,11.30457,3492.17092,3493.31955,365.30226,3675.39636,5.46397,5.46487,1.7672,5.60548,-0.18759,-4.68062,0.26957,0.08591,176.70161,1.45422,0.22921,1.36206,0.38804,2.70643,75.0,197.0,0.11971,7.91952,0.10246,257.00468,68.74802,257.12439,68.78004,12.099513
951.0,1.69003,20.57859,19.88269,,,218.71111,71.74952,32.80561,264.0839,1189.99891,62.05214,16.58546,5.44096,3.1791,1.91394,1.89898,11.97725,2411.95756,2413.9402,131.15227,2478.52501,5.79326,5.79564,1.35091,5.87266,-2.32006,7.21705,0.69484,0.1821,5.43746,1.15008,0.27776,1.18109,0.40851,2.61188,38.0,180.0,0.08249,6.70479,0.11483,146.8791,67.15667,146.96159,67.19439,12.113431
761.0,5.46774,20.57859,19.88269,,,255.19049,102.06215,39.9945,266.86704,1364.75003,72.18954,13.37175,5.34797,1.34905,2.3561,2.30464,14.00983,1877.02557,1878.52058,270.47859,2013.01237,4.28738,4.28909,1.62751,4.43997,-1.10526,-26.69309,-18.17733,1.15006,214.21467,0.60533,0.35818,1.11661,0.37057,2.67161,54.0,704.0,0.32269,31.24722,0.31517,152.80565,59.87905,153.12834,60.0055,13.3023165
