#Location,Quebec,,,,
#Site,Foret Montmorency,,,,
#Pit_ID,fm1,,,,
#Date_Time,2022-02-15-10:00,,,,
#UTM_Zone,19T,,,,
#Easting,336107,,,,
#Northing,5239450,,,,
#Top(cm),Bottom(cm),Density_A(kg/m^3),Density_B(kg/m^3),Density_C(kg/m^3),Avg_density(kg/m^3)
147,144,101,,,
144,141,122,,,
141,138,178,,,
138,135,210,,,
134,131,245,,,
130,127,275,,,
127,124,287,,,
123,120,281,,,
115,112,216,,,
111,108,234,,,
108,105,247,,,
103,100,266,,,
99,96,279,,,
96,93,280,,,
89,86,261,,,
84,81,265,,,
78,75,267,,,
72,69,265,,,
68,65,305,,,
60,57,323,,,
58,55,275,,,
48,45,310,,,
40,37,370,,,
35,32,392,,,
30,27,330,,,
18,15,355,,,
9,6,314,,,
