Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69003,20.57859,19.88269,,,441.70971,175.26666,39.67915,389.16107,2232.76825,108.15802,12.73926,5.05483,-2.65664,2.70005,2.72171,11.13147,5427.84069,5423.37466,640.56841,5745.89188,5.56822,5.56593,1.91287,5.72904,-8.75091,-10.46884,-0.85498,0.12568,184.5698,-1.25124,0.27385,1.44891,0.47662,2.70167,85.0,4326.0,0.65966,80.71677,0.37496,265.78339,60.17151,266.44305,60.32085,4.113431
951.0,1.69003,20.57859,19.88269,,,364.65098,138.17269,37.89177,349.59936,1650.98064,102.57605,11.94868,4.52756,-1.64658,2.52053,2.52566,11.12162,4200.02154,4194.64791,433.65393,4414.16169,5.51527,5.51174,1.7722,5.65412,-0.03062,-19.51147,-21.54906,0.44253,227.88163,-0.82683,0.29807,1.27123,0.55428,2.65168,77.0,2672.0,0.43652,50.70081,0.31493,226.04176,61.98852,226.47829,62.10823,6.113431
951.0,1.69003,20.57859,19.88269,,,364.65098,130.45692,35.77583,349.59936,1478.67831,105.68245,11.33461,4.05505,-2.0333,2.49071,2.41712,10.95734,4010.24903,4020.56038,402.33293,4216.57117,5.54661,5.55374,1.75685,5.6875,0.2778,9.85167,12.90741,0.25741,52.56702,-1.07633,0.31702,1.1285,0.66946,2.6193,46.0,2433.0,0.37838,45.32117,0.28921,233.81567,64.1204,234.19406,64.22417,8.113431
951.0,1.69003,20.57859,19.88269,,,292.17438,94.07141,32.19701,309.01943,1010.05558,91.24434,10.73712,3.45703,0.30294,2.17028,2.23212,11.38888,2924.13412,2929.26826,232.11819,3042.76028,5.57516,5.58005,1.57077,5.68712,2.66876,-13.93415,9.51393,0.35854,145.74715,0.16929,0.35608,0.90422,0.75357,2.53739,29.0,737.0,0.148,15.31298,0.15708,197.95498,67.75234,198.10298,67.80299,12.113431
951.0,1.69003,20.57859,19.88269,,,364.65098,127.98208,35.09714,349.59936,1436.86213,99.29646,11.22706,3.94038,-0.80349,2.52635,2.52054,11.3242,3923.76324,3933.91276,394.32827,4126.00213,5.53798,5.54514,1.75561,5.67891,-3.48245,-14.40913,17.15369,0.3634,130.12102,-0.4294,0.32344,1.08511,0.66467,2.61294,38.0,1498.0,0.26641,30.00789,0.20773,236.40249,64.8298,236.6689,64.90286,14.113431
951.0,1.69003,20.57859,19.88269,,,358.71591,127.65562,35.58683,346.4059,1368.87266,96.87654,10.72317,3.81604,-0.17182,2.44355,2.48651,11.38486,4005.38199,4006.5058,379.78877,4195.83828,5.60179,5.60257,1.72495,5.73342,-4.43934,7.17335,-3.0459,0.12326,336.95101,-0.09614,0.3557,1.00049,0.62982,2.61328,47.0,1387.0,0.268,27.52312,0.2095,230.79229,64.33846,231.0603,64.41317,16.113431
886.0,2.9824,20.57859,19.88269,,,358.9549,141.5334,39.4293,338.67261,1655.59104,104.9599,11.69753,4.61225,-1.8911,2.54829,2.54801,11.95632,3924.82527,3926.27309,458.69417,4154.89627,5.26804,5.26901,1.80095,5.42025,-0.48616,-20.83051,-5.28615,0.3552,194.22656,-0.97,0.30344,1.29939,0.50763,2.67705,29.0,2443.0,0.42139,47.22686,0.29685,217.00012,60.45331,217.42151,60.5707,18.1780495
951.0,1.69003,20.57859,19.88269,,,382.05254,141.80461,37.11652,358.69696,1609.31726,105.23172,11.34884,4.21229,-0.4161,2.55117,2.56219,11.41237,4442.313,4442.17864,454.52027,4669.50596,5.59764,5.59755,1.79051,5.73899,3.37005,5.56742,1.06385,0.08146,10.86329,-0.21999,0.32126,1.15533,0.55309,2.65225,35.0,1669.0,0.33676,33.67461,0.23692,239.91117,62.79533,240.24793,62.88348,22.113431
951.0,1.69003,20.57859,19.88269,,,543.63744,214.03134,39.37024,437.10737,2718.74159,130.6891,12.70254,5.00102,-2.16756,3.05587,3.10761,11.38864,6861.4635,6831.74754,988.86305,7341.03704,5.66472,5.65244,2.15049,5.85934,-3.08884,-30.20312,-1.77163,0.29516,183.34391,-1.02384,0.27235,1.44558,0.4834,2.7,62.0,4568.0,0.85943,90.96954,0.39994,328.74667,60.47168,329.6061,60.62976,25.113431
951.0,1.69003,20.57859,19.88269,,,464.48572,184.33711,39.68628,400.33003,2394.56315,114.19666,12.99013,5.1553,-2.6263,2.82787,2.81643,11.32347,5821.30274,5822.02763,720.868,6182.09919,5.62288,5.62323,1.97869,5.79451,-0.80837,-27.77234,2.97529,0.31376,173.87714,-1.21306,0.26415,1.50244,0.45756,2.71419,51.0,4603.0,0.80743,91.6177,0.43611,279.34119,60.13989,280.14862,60.31372,27.113431
951.0,1.69003,20.57859,19.88269,,,602.39016,246.90238,40.98712,462.96718,3582.51295,135.58281,14.50984,5.94716,-6.11848,3.20133,3.15597,11.70834,7734.11768,7736.93106,1268.59842,8369.82358,5.60502,5.60604,2.27004,5.83083,-6.50108,60.84319,22.7486,0.57514,20.44855,-2.53007,0.23204,1.76636,0.45711,2.70204,73.0,8057.0,1.31437,163.96807,0.52953,354.1734,58.79469,355.48778,59.01288,29.113431
951.0,1.69003,20.57859,19.88269,,,683.60496,281.80162,41.22288,497.83712,3854.86083,142.55678,13.67934,5.63902,-3.99332,3.32701,3.35131,11.23892,9127.26009,9132.2153,1621.46907,9940.47223,5.69637,5.69792,2.40095,5.94472,2.55314,-54.59152,1.45627,0.41684,178.49241,-1.75154,0.24466,1.68488,0.4306,2.72847,84.0,8065.0,1.4021,162.931,0.49508,400.40124,58.57202,401.80334,58.77712,33.113431000000006
951.0,1.69003,20.57859,19.88269,,,478.00035,181.06652,37.88,406.01075,2243.38795,120.34867,12.38985,4.69328,-2.17347,2.87309,2.82248,11.11823,5625.61712,5614.78577,732.08791,5986.2454,5.57662,5.57124,2.01172,5.75258,-3.07476,-46.63165,-1.1352,0.54607,181.36159,-1.05254,0.28034,1.35121,0.52081,2.69271,59.0,3796.0,0.75191,75.49658,0.41355,296.18191,61.9627,296.93382,62.12,35.113431000000006
951.0,1.69003,20.57859,19.88269,,,445.11079,168.60781,37.87997,390.14356,2274.45964,114.01674,13.48965,5.10987,-2.0893,2.75859,2.72069,11.54655,5516.37778,5513.85996,635.50387,5832.87081,5.72272,5.72142,1.94238,5.8846,-1.30292,-18.78119,2.94471,0.22318,171.07002,-0.92929,0.26428,1.43331,0.47399,2.70685,74.0,3614.0,0.60104,69.58643,0.3552,275.90194,61.985,276.50298,62.12003,37.113431000000006
951.0,1.69003,20.57859,19.88269,,,335.88757,123.55711,36.78526,334.1686,1536.20267,91.63696,12.43314,4.57356,-0.30813,2.37748,2.33123,11.46988,3772.83291,3777.48795,347.5437,3948.93228,5.52636,5.52977,1.6773,5.65386,2.44933,2.54437,16.61631,0.28086,81.24348,-0.1487,0.30262,1.21554,0.50505,2.65035,64.0,1396.0,0.36417,31.48629,0.29387,211.96629,63.10632,212.33046,63.21474,39.113431000000006
951.0,1.69003,20.57859,19.88269,,,214.40557,81.55846,38.03934,261.50287,1019.81347,73.08586,12.50408,4.75647,0.4234,1.88203,1.92381,11.26835,2452.38961,2449.95267,145.73549,2524.03889,5.48324,5.48052,1.33667,5.56276,0.51436,-7.09505,-16.29551,0.4419,246.4852,0.20317,0.30153,1.26153,0.45007,2.59559,45.0,1041.0,0.22421,22.40027,0.27415,132.6229,61.85609,132.84711,61.96066,41.113431000000006
951.0,1.69003,20.57859,19.88269,,,335.88757,105.84879,31.51316,334.1686,1205.195,92.63863,11.38601,3.58809,1.06211,2.30432,2.35982,11.14895,3186.87664,3190.07536,307.19065,3342.07133,5.48615,5.4889,1.70329,5.61814,-0.18357,-41.66158,6.62143,0.83908,170.97568,0.55969,0.33403,0.94341,0.74489,2.57487,44.0,721.0,0.22078,16.82258,0.20815,229.81801,68.42111,230.03879,68.48684,48.113431000000006
951.0,1.69003,20.57859,19.88269,,,488.09893,145.03482,29.71423,411.14747,1652.23913,100.86017,11.39202,3.38505,1.15871,2.7559,2.81111,11.66898,4497.6246,4482.67999,604.81823,4792.56141,5.56769,5.55843,2.04172,5.74735,-4.76192,15.19942,-15.80656,0.32379,313.771,0.61028,0.32474,0.91502,0.77225,2.59787,56.0,948.0,0.36917,24.50466,0.25389,342.69495,70.21014,343.06412,70.28577,50.113431000000006
903.0,1.69003,19.62422,19.88269,,,533.39577,166.63173,31.23979,425.31597,1990.8083,105.64328,11.94735,3.73233,-0.4287,3.07696,3.07964,11.09579,4968.9862,4958.41562,770.97798,5349.1899,5.46141,5.4556,2.15126,5.6665,5.20638,10.40583,39.39892,0.55775,75.17903,-0.2153,0.30823,1.01354,0.66908,2.61737,51.0,1977.0,0.46792,43.15142,0.28003,366.29612,68.67248,366.76404,68.76021,52.065712500000004
951.0,1.69003,20.57859,19.88269,,,625.08396,224.32759,35.88759,472.62457,2933.8573,122.02097,13.07845,4.69354,-1.71745,3.22898,3.29386,11.09218,6953.36061,6944.89579,1181.61463,7539.93551,5.56965,5.56626,2.29598,5.79982,9.51891,-39.12374,-15.54459,0.41844,201.76642,-0.78792,0.27555,1.30239,0.51888,2.6793,71.0,4199.0,0.75855,83.75499,0.337,399.99783,63.99106,400.75638,64.11241,54.113431000000006
951.0,1.69003,20.57859,19.88269,,,617.54926,208.29245,33.72888,469.70198,2931.33478,112.45678,14.07317,4.74672,0.19573,3.22417,3.24244,11.11184,6705.17026,6673.0899,1058.97887,7218.61951,5.67371,5.66012,2.25479,5.88694,2.52656,40.86424,5.78474,0.41888,8.12744,0.08345,0.26346,1.28024,0.48668,2.67762,94.0,3047.0,0.65834,64.39438,0.31507,408.59847,66.16451,409.25681,66.27112,56.113431000000006
756.0,1.69003,16.70146,19.88269,,,443.55093,134.49608,30.32258,364.82005,1924.07816,88.16209,14.30583,4.3379,2.32544,3.21937,3.0668,9.61588,2900.32718,2906.56002,634.92914,3220.90817,4.64146,4.64644,2.17167,4.89125,2.36332,-39.26591,-9.18588,1.01981,193.18554,0.97531,0.26725,1.13461,0.5546,2.65615,78.0,1134.0,0.41499,27.72948,0.3076,308.63985,69.58386,309.05485,69.67742,57.9195745
951.0,1.69003,20.57859,19.88269,,,376.37162,123.73689,32.87625,355.97046,1950.1445,81.55619,15.76041,5.18143,3.06317,2.50384,2.53117,11.46613,3788.68819,3786.87102,386.87361,3981.21641,5.52937,5.52804,1.76691,5.66812,-0.54906,-3.66577,13.63918,0.23801,105.04406,1.16615,0.2498,1.31609,0.40816,2.69638,77.0,861.0,0.22359,19.26365,0.18037,252.41114,67.06434,252.63473,67.12375,59.113431000000006
951.0,1.69003,20.57859,19.88269,,,498.09287,165.12015,33.15048,416.27312,2627.86832,96.82332,15.91489,5.27586,2.68279,2.87943,2.87935,11.3647,5305.24201,5304.39711,695.27662,5652.45787,5.66466,5.6642,2.05069,5.84709,0.24528,-3.36611,11.94822,0.1543,105.72848,1.01143,0.24188,1.37055,0.40366,2.72345,94.0,1662.0,0.40048,35.56515,0.24195,332.57224,66.76912,332.97272,66.84952,61.113431000000006
833.0,4.03619,20.57859,19.88269,,,488.72758,138.28942,28.29581,395.98869,2100.70011,86.84949,15.19061,4.2983,3.31766,3.02293,3.01449,12.55784,3480.9854,3486.21473,654.19152,3810.69582,5.01331,5.01708,2.17333,5.24537,-5.66463,6.83335,25.62538,0.53602,75.14198,1.31041,0.25949,1.09045,0.54482,2.65008,114.0,945.0,0.2191,19.71824,0.15818,350.21907,71.65936,350.43817,71.70419,61.230739
