Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
691.0,1.69002883,15.40908639,19.88269212,,,282.3360784,94.01247431,33.29807329,289.69766426,908.79345067,14.18074756,9.66673261,3.21883571,2.29741994,2.21124605,8.53254002,1612.91776693,1611.58992066,237.45916679,1730.98342719,4.14108938,4.13938444,1.5889234,4.28997683,-0.82383931,3.41183893,22.01074332,0.92820679,81.22990293,20.0,148.0,0.07918635,4.80655509,0.08415873,188.24441775,66.67387987,188.3236041,66.70192671,4.854955761
951.0,1.69002883,20.57858634,19.88269212,,,548.95914394,163.680302,29.81648157,464.90438038,1511.87641619,20.07971431,9.23676458,2.75407821,2.67036374,2.69574218,11.25540589,5108.94048301,5102.78639412,596.35637518,5404.04162615,5.58550632,5.58214124,1.90831498,5.74455602,-3.5721601,6.20096463,9.78723816,0.14714655,57.69736991,49.0,219.0,0.19855448,9.26494843,0.1211593,385.08028746,70.14734916,385.27884193,70.18351843,7.1134307585
831.0,1.69002883,18.19266329,19.88269212,,,342.52410061,102.49069449,29.92218483,341.78191175,1013.2533429,16.7053265,9.886296,2.95819576,2.29036736,2.25926073,9.89207128,2519.11453543,2518.20625282,268.10771563,2652.71425194,4.95639086,4.95549725,1.61694872,5.08612262,1.11972288,29.76979001,-10.79342125,0.80557709,340.08571135,30.0,128.0,0.10084584,4.89394774,0.0982984,239.93256028,70.0483732,240.03340613,70.07781517,8.994134606
840.0,3.89700765,20.57858634,19.88269212,,,218.69469012,54.66298132,24.99511135,267.37829786,539.18811173,8.36102871,9.86386214,2.46548332,1.82566736,1.79824164,12.1811932,1384.56892488,1386.80394774,87.22794172,1429.30040717,5.03105587,5.03511489,1.26278572,5.11167941,1.23450657,7.42193155,15.15412508,0.74458354,63.83376627,26.0,59.0,0.03569277,2.06379412,0.06525345,163.99601603,74.98856783,164.0317088,75.00488865,11.2237796995
951.0,1.69002883,20.57858634,19.88269212,,,430.54930789,107.96495809,25.07609607,405.79063533,991.37341007,16.09693843,9.18236276,2.30257811,2.30926681,2.32371045,10.96589629,3589.3849009,3592.44355517,301.37412663,3741.60129135,5.76453713,5.7669927,1.67034972,5.88549748,-2.03312072,-18.69192185,-17.60577247,0.44694591,223.25730649,43.0,120.0,0.09983612,5.19977425,0.09238543,322.48451369,74.90071585,322.58434981,74.92390393,13.1134307585
814.0,1.69002883,17.85465752,19.88269212,,,380.91124353,124.77468709,32.75689264,360.537056,1136.48306611,18.53378411,9.10828224,2.98359023,2.40597491,2.40078226,9.8487651,2940.91427603,2939.88639546,370.24846951,3125.5245705,4.85399606,4.85314772,1.72228442,5.00402759,-0.86410324,1.47288766,10.43961359,0.23505074,81.99102649,24.0,213.0,0.10781686,6.7313629,0.08633464,256.02873958,67.21480238,256.13655644,67.24310736,14.977234317499999
527.0,1.69002883,12.14832488,19.88269212,,,248.63449088,78.124088,31.42125926,251.1547343,820.73632467,16.76272417,10.50554759,3.30097535,2.36558127,2.39495734,6.99926389,803.06877627,799.522542,231.20690044,916.89910936,3.20511582,3.19803133,1.71975964,3.42474416,0.61302805,0.81194929,-12.77154043,1.28911032,273.55428275,41.0,191.0,0.09372614,5.76154525,0.1198271,170.41667674,68.54104438,170.51040288,68.57874074,17.6919176855
951.0,1.69002883,20.57858634,19.88269212,,,489.87008312,143.66092043,29.32633067,436.11120106,1408.25293331,20.67555965,9.80261667,2.87474778,2.48967395,2.57590386,11.24399524,4587.63158265,4590.03516556,467.27802237,4822.47238529,5.64917259,5.65065228,1.80292746,5.79195863,-0.2781322,5.20506101,9.79536419,0.15416598,62.00303074,62.0,214.0,0.1099379,7.03460703,0.07646744,346.0992248,70.65122707,346.20916269,70.67366933,20.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,637.33486249,172.88607442,27.12641103,505.81255745,1607.69172646,20.27632472,9.29913952,2.52252281,2.94939561,2.94854039,11.59031324,5477.13430423,5463.90137582,731.70036703,5836.36802353,5.62711155,5.6203098,2.0567214,5.80871628,-0.34951429,-58.55943466,41.61164019,0.86797552,144.52591351,64.0,208.0,0.16292491,8.55680211,0.09414958,464.28586316,72.8480255,464.44878808,72.87358897,22.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,463.44632451,128.46900062,27.72036239,422.79614305,1279.71744459,17.98508958,9.96129368,2.76130671,2.38232454,2.48297231,11.3672269,4152.26472912,4139.22843537,391.36891433,4341.43103941,5.68319476,5.67426637,1.74479009,5.81120874,-2.18593858,-6.48053251,1.80367231,0.10253717,164.36691701,87.0,197.0,0.08391021,5.65780238,0.0652729,334.89341368,72.26153191,334.97732389,72.27963761,24.1134307585
