Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
301.0,14.61378,20.57859,19.88269,,,76.57638,28.15337,36.76508,105.67766,360.99771,30.46971,12.82254,4.71422,0.79127,2.04913,2.04901,17.51807,116.72093,116.73803,57.69568,145.57732,2.03587,2.03602,1.43136,2.27365,0.23172,0.6518,-2.17765,2.19688,286.47971,0.37026,0.28956,1.26967,0.49895,2.54529,16.0,144.0,0.04884,4.15421,0.17318,48.37417,63.17114,48.42301,63.23492,8.7596185
951.0,1.69003,20.57859,19.88269,,,196.40603,73.62846,37.48788,249.33625,867.29935,77.59276,11.7794,4.41585,0.48279,1.81272,1.86745,11.17952,2240.07803,2236.50638,121.87171,2299.22806,5.51542,5.51102,1.28647,5.58776,-0.70501,6.33559,-15.45574,0.45255,292.26928,0.24591,0.32231,1.1631,0.51255,2.57045,22.0,403.0,0.14993,12.11278,0.20321,122.62765,62.43578,122.77757,62.51212,11.113431
739.0,1.69003,16.36346,19.88269,,,209.11061,78.72673,37.64837,236.08801,861.94741,71.31194,10.9486,4.12197,0.37383,2.14876,2.09462,9.41632,1414.31519,1415.17418,176.33873,1502.91405,4.2383,4.23959,1.49656,4.36904,-0.35924,6.95397,17.02026,0.85001,67.77448,0.20487,0.34,1.1073,0.56913,2.57756,31.0,428.0,0.15066,12.55343,0.191,130.23323,62.27959,130.38388,62.35163,12.9026745
379.0,1.69003,9.20569,19.88269,,,94.56152,32.33267,34.1922,125.12806,393.66262,34.09307,12.17538,4.16303,0.50267,1.96552,2.03847,5.30194,183.12803,183.7235,64.31522,215.58337,2.37972,2.38359,1.41028,2.582,-1.75526,-0.38115,1.7789,0.87843,102.91896,0.24772,0.31068,1.10056,0.60249,2.53159,15.0,161.0,0.04276,4.05231,0.13208,62.18609,65.76258,62.22885,65.8078,14.544786
386.0,12.92375,20.57859,19.88269,,,96.30806,31.97195,33.19758,126.9782,361.28916,36.44012,11.30019,3.75139,2.0236,1.97238,2.06179,16.76632,185.48503,187.71036,61.32148,217.25844,2.4078,2.42221,1.38444,2.60588,0.09679,1.5256,-1.43771,0.95827,317.20942,1.07446,0.34316,0.96741,0.63472,2.50934,22.0,75.0,0.0387,2.59329,0.12089,64.29742,66.76224,64.33611,66.80242,15.675117
951.0,1.69003,20.57859,19.88269,,,269.09938,100.44142,37.32503,295.69322,1144.38295,88.30898,11.39354,4.25264,-0.51493,2.13528,2.12786,11.10391,3129.75457,3126.48121,227.14466,3241.69022,5.58276,5.57984,1.50399,5.68171,-3.60498,14.1723,16.74232,0.43271,49.79591,-0.27117,0.32315,1.15504,0.58515,2.58439,21.0,693.0,0.22604,19.50216,0.22454,168.43192,62.59097,168.65796,62.67497,18.113431
810.0,1.69003,17.77513,19.88269,,,367.93642,145.51073,39.54779,333.49226,1857.32456,97.5739,12.76418,5.04795,-2.44613,2.70546,2.70068,10.0314,3383.32295,3380.71887,527.40658,3645.7242,4.8245,4.82265,1.90482,5.0081,-6.14927,-9.37521,-18.87701,0.4224,243.68439,-1.14984,0.27679,1.42878,0.48601,2.69699,39.0,1606.0,0.4149,42.33922,0.28432,222.01079,60.33944,222.42569,60.45221,19.973258
440.0,8.41038,17.13888,19.88269,,,151.54164,50.33334,33.2142,171.04911,581.33318,48.13472,11.54966,3.83613,1.27917,2.36806,2.35141,12.83346,385.49137,388.62021,139.97076,457.04117,2.76687,2.77808,1.66725,3.01272,-0.98565,-4.46965,-1.23008,1.07822,195.00683,0.66452,0.34074,0.97477,0.60028,2.57934,19.0,166.0,0.05032,4.39006,0.09987,101.15798,66.7526,101.2083,66.7858,25.277463
306.0,14.51437,20.57859,19.88269,,,106.24857,40.08811,37.73049,129.93976,485.31631,39.80133,12.10624,4.56774,0.55557,2.29349,2.426,17.56742,184.94707,183.06051,110.18242,239.095,2.14775,2.13676,1.65774,2.44199,-0.26758,2.06293,3.61482,3.22835,61.01825,0.27535,0.32037,1.17772,0.49791,2.60757,11.0,270.0,0.05531,6.23744,0.13778,66.10515,62.21745,66.16046,62.26951,27.754648
951.0,1.69003,20.57859,19.88269,,,244.43222,89.06976,36.43945,280.69574,1026.0336,81.1168,11.51944,4.19762,0.65582,2.01112,2.06858,11.18236,2813.76302,2816.09865,181.32291,2905.59229,5.62003,5.62236,1.42666,5.711,0.67009,-4.86197,-8.30198,0.20931,239.61575,0.34159,0.33655,1.08274,0.52199,2.57949,33.0,568.0,0.15632,14.76253,0.1752,155.20615,63.4966,155.36247,63.56055,28.113431
