#Location,"Big Sky, MT",,,,,,
#Site,Beehive Basin Trailhead Area,,,,,,
#Pit_ID,beehive1,,,,,,
#Date_Time,2022-04-12-1400,,,,,,
#UTM_Zone,12T,,,,,,
#Easting,469887,,,,,,
#Northing,5017176,,,,,,
#Top(cm),Bottom(cm),grain_size,grain_type,secondary_grain_type,hand_hardness,manual_wetness,comments
131,110,<1,PP,DF,F,D,
110,108,<1,MFcr,RG,P,D,
108,106,"1,2",MFcr,-,P,D,
106,106,n/a,IF,-,K,D,
106,103,<1,FCxr,-,4F,D,
103,103,n/a,IF,-,K,D,
103,99,"2,4",MFcr,-,P,D,
99,99,n/a,IF,-,K,D,
99,93,<1,RG,FCxr,P-,D,
93,93,n/a,IF,-,K,D,
93,89,"<1,2",MFcr,-,P+,D,
89,83,<1,RG,-,4F,D,
83,82,"1,2",MFcr,-,P,D,
82,79,"1,2",FCxr,-,1F-,D,
79,77,<1,MFcr,-,P,D,
77,62,"2,4",FCxr,MF,4F,D,some flow fingers
62,0,"2,6",FCxr,"MFcr,IF",1F,D,Inconsistant basal ice
