#Location,Tetons,,,,,,
#Site,Pine Creek Pass Snotel,,,,,,
#Pit_ID,pine_creek1,,,,,,
#Date_Time,2022-03-10-1300,,,,,,
#UTM_Zone,12T,,,,,,
#Easting,482893,,,,,,
#Northing,4824138,,,,,,
#Top(cm),Bottom(cm),grain_size,grain_type,secondary_grain_type,hand_hardness,manual_wetness,comments
88,75,<1,PP,DF,F,D,
75,73,"1,2",MFcr,-,P,D,
73,70,"1,2",FC,-,F,D,
70,70,"1,2",MFcr,-,P,D,
70,65,"1,2",FC,-,F,D,
65,65,"1,2",MFcr,-,1F,D,
65,57,"1,2",FC,-,F,D,
57,57,"1,2",MFcr,-,P,D,
57,52,"2,4",FC,-,F,D,
52,35,"2,4",FCxr,-,4F,D,
35,0,"1,2",RG,-,1F,D,
