Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
814.0,4.41396,20.57859,19.88269,,,166.32679,56.88531,34.20093,214.88456,586.5056,61.36324,10.31032,3.52622,1.30314,1.80619,1.76373,12.53104,1363.70944,1361.81845,93.08676,1409.30733,4.89525,4.89186,1.27896,4.97642,2.63621,14.37303,1.1362,0.65025,4.64411,0.75835,0.38029,0.89934,0.65396,2.49801,15.0,227.0,0.07232,6.03856,0.12698,109.36916,65.75559,109.44148,65.79907,35.2496275
845.0,1.69003,18.47102,19.88269,,,206.63357,67.94336,32.88108,245.90599,687.97746,69.44181,10.12575,3.32946,1.34937,1.97461,2.01828,10.25296,1751.92647,1750.04228,133.60233,1817.78554,5.0769,5.07416,1.402,5.17144,-0.33647,-4.86976,15.88009,0.58868,107.03976,0.79957,0.40033,0.82135,0.71497,2.50174,28.0,274.0,0.07462,7.07991,0.10971,138.6156,67.0828,138.69022,67.11892,36.008052500000005
840.0,3.89701,20.57859,19.88269,,,276.90199,83.55362,30.17444,287.8589,732.77065,75.43357,8.77007,2.64632,0.91907,2.30206,2.30795,12.03412,2096.63786,2081.37919,225.21918,2201.61811,5.00876,4.9905,1.64161,5.13262,2.40753,0.90088,-16.15361,0.49927,273.09284,0.62878,0.44304,0.68107,0.90278,2.4795,21.0,299.0,0.13362,9.38866,0.15967,193.21475,69.77731,193.34838,69.82556,38.223780000000005
951.0,1.69003,20.57859,19.88269,,,379.42138,117.61623,30.99884,357.13582,1124.64548,95.44501,9.56199,2.96411,0.70992,2.52939,2.49885,11.27628,3719.02801,3714.02789,373.0403,3903.0481,5.62267,5.61889,1.78076,5.7601,-5.26211,19.9344,6.54222,0.35896,18.12185,0.44546,0.40068,0.77366,0.82751,2.54718,24.0,453.0,0.14821,12.856,0.12585,261.65694,68.9621,261.80515,69.00116,40.113431000000006
951.0,1.69003,20.57859,19.88269,,,274.15241,86.31919,31.48584,298.79339,835.10707,84.08552,9.67464,3.04614,0.9809,2.15687,2.08289,11.08757,2698.49585,2706.79518,202.25513,2803.77308,5.59048,5.59907,1.53052,5.69849,3.13384,15.42707,-16.16322,0.51127,313.75683,0.60834,0.41526,0.75821,0.81104,2.49023,19.0,324.0,0.08819,8.32017,0.10207,187.74502,68.48199,187.83322,68.51416,42.113431000000006
775.0,5.18938,20.57859,19.88269,,,370.55002,124.36662,33.56271,330.58881,1262.74953,92.30355,10.15344,3.40777,0.61277,2.78492,2.76807,12.81047,2607.34199,2596.22545,477.55274,2840.56009,4.57841,4.56864,1.95941,4.77879,-5.49111,0.28735,-13.1088,0.35461,271.39673,0.36211,0.37781,0.88834,0.66397,2.6188,26.0,664.0,0.17412,16.95886,0.13981,246.00929,66.3903,246.18341,66.43729,43.2883985
951.0,1.69003,20.57859,19.88269,,,409.62745,143.795,35.10385,372.49913,1533.77013,109.8289,10.66637,3.74431,0.74257,2.63833,2.61163,11.41234,4562.92591,4557.07156,497.1933,4808.59539,5.63255,5.62894,1.85929,5.78219,5.11437,-25.33992,-9.58811,0.38217,200.80702,0.41771,0.36083,0.97286,0.60151,2.63689,18.0,502.0,0.17989,16.25762,0.12494,265.65256,64.85224,265.83245,64.89615,45.113431000000006
951.0,1.69003,20.57859,19.88269,,,289.67029,105.66313,36.47703,308.13182,1159.59963,85.39264,10.9745,4.00317,0.18453,2.23011,2.19052,11.1476,3248.78774,3250.39807,254.21839,3376.7021,5.54491,5.54629,1.55109,5.65302,0.09292,23.53933,-19.12964,0.58013,320.91581,0.10089,0.3506,1.04043,0.56,2.59865,22.0,444.0,0.15568,15.09747,0.14712,183.85148,63.46922,184.00716,63.52297,47.113431000000006
879.0,3.12158,20.57859,19.88269,,,219.31434,79.07438,36.05527,257.28063,877.51784,75.0404,11.09737,4.00119,1.11608,2.00121,1.98818,11.91345,2054.53497,2051.4267,154.86398,2130.41282,5.09639,5.09254,1.39921,5.18965,-0.83037,0.61356,0.70198,0.02813,48.89486,0.60343,0.34765,1.03712,0.54749,2.56524,25.0,295.0,0.10107,9.04407,0.12766,140.13889,63.89864,140.23996,63.94473,49.185008499999995
951.0,1.69003,20.57859,19.88269,,,274.15241,98.85998,36.06023,298.79339,1116.96717,85.3363,11.29848,4.07426,0.01447,2.15729,2.14545,11.24133,3034.62263,3036.16573,225.5611,3148.17473,5.54052,5.54193,1.51053,5.64323,0.41385,9.91605,5.20191,0.22839,27.67312,0.00768,0.33757,1.06823,0.56416,2.58645,24.0,472.0,0.18551,16.08128,0.1873,175.10691,63.87211,175.29242,63.93977,51.113431000000006
